org,date,position_summary,quote,doc_url,source_page
QUECHAN INDIAN TRIBE,2023-12-11,Supports adoption of the revised draft SEIS proposed action as the preferred alternative; commits over 20% of its California water rights to system conservation; requests Reclamation acknowledge it lacks legal authority to impose out-of-priority cuts on tribes.,We strongly support the adoption of the revised draft SEIS' proposed action alternative as the preferred alternative in your final SEIS.,https://www.usbr.gov/ColoradoRiverBasin/documents/NearTermColoradoRiverOperations/PublicComments/Tribes/319_Fort Yuma Quechan Indian Tribe_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/interimguidelines/seis/publicinvolvement.html
RAEnergx.!.!S,2022-06-29,"Requests creation of a public database showing water available and projected 'run dry' dates by state and collectively, and asks for contingency planning and initiatives to restore landscapes/water supplies.",By state How much water is available Projected run dry date,https://www.usbr.gov/ColoradoRiverBasin/documents/Citizen Comments letters 508 compressed_updated_1.30.2023_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/pre-scope/summary-input.html
Raise the River,2023-08-15,"Supports Reclamation’s post‑2026 efforts to increase water reliability and basin resilience; urges maintaining US–Mexico collaboration, assessing salinity and delivery impacts to Mexico, and evaluating effects on wetlands and the Ciénega de Santa Clara.","We support Reclamation’s efforts, alongside efforts from the Basin States and Mexico, to develop Colorado River management post-2026 that increases the reliability of water supplies and improves resilience of the Colorado River Basin in the face of climate change.",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_L-S_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Reclamation,,"Describes consultation, coordination, and outreach for the 2023 Drought Response Operations Plan, including a May 10, 2023 public webinar, ongoing meetings with Tribes, DOI agencies, WAPA, and consultations with Lower Division States and Initial Unit workgroups.","On May 10, 2023, a public webinar was held to outline the contents of the 2023 Drought Response Operations Plan.",https://www.usbr.gov/ColoradoRiverBasin/documents/dcp/DROA/20230517-2023DROAPlan-508-UCRO.pdf,https://www.usbr.gov/ColoradoRiverBasin/dcp/droa.html
Reclamation,2023-04,"Describes 2023 Drought Response Operations Plan, indicating DROA releases are not currently needed to protect Lake Powell; plans to preserve upstream storage, recover prior DROA releases where needed, and evaluate additional operations if necessary.",Actual hydrologic conditions indicate that DROA releases are not currently needed to protect the critical elevations at Lake Powell.,https://www.usbr.gov/ColoradoRiverBasin/documents/dcp/DROA/20230517-2023DROAPlan-508-UCRO.pdf,https://www.usbr.gov/ColoradoRiverBasin/dcp/droa.html
Rio Blanco Water Conservancy District,,"Supports using reservoir storage and adding new upper-basin storage to manage drought; calls for sustainable, fair, and equitable post-2026 Colorado River operating principles and focused Lower Basin conservation.","Beyond 2026, operating principles implemented for the Colorado River System must be sustainable, fair, and equitable.",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_G-R_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Rio Blanco Water Conservancy District,2023-08-15,Raises concern that post‑2026 operational guidelines could impede local water development and harm local economies; urges equal accounting for system water losses and recommends revisiting the Colorado River Storage Project to increase upper basin storage.,The district is concerned the post-2026 operational guides will impact our ability to develop and sustain water supplies within our district boundaries for the benefit of our constituents,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_G-R_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
RIX Industries,2022-07-21,"Proposes constructing one or multiple pipelines from the Great Lakes to Lake Powell to supply water, arguing technology exists and costs are justified to prevent reservoir depletion and loss of hydroelectricity and food production.",I propose a Pipeline be constructed from the Great Lakes to Lake Powell.,https://www.usbr.gov/ColoradoRiverBasin/documents/Citizen Comments letters 508 compressed_updated_1.30.2023_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/pre-scope/summary-input.html
"Salmon, Lewis & Weldon, P.L.C.",2023-08-15,"Opposes placing expanded shortage reductions mainly on Arizona; urges equitable sharing among Lower Basin users, proportional allocation among entitlement holders; supports coordinated reservoir operations, more incremental tiers, and preserving voluntary conservation programs.",Merely extending the existing framework to expand reduction volumes and shortage tiers borne by Arizona is not a viable solution.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_G-R_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Salt River Pima-Maricopa lndian Reservation,,Asserts that presently developed acreage on the reservation was undercounted in 1976 and seeks correction to increase its water allocation accordingly.,"The Salt River Indian Community claimed that the presently developed acreage on the reservation is 14.858 acres and not 13,061 acres as reported in the 1976 allocation.",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Tribal_Submissions_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Salt River Project,,"Supports Reclamation outreach and stakeholder engagement; urges consideration of hydropower, equitable allocation of reductions, beneficial use, environmental concerns, and protection of hydropower in Post-2026 guidelines.",SRP supports Reclamation’s outreach to all interested members of the public to provide comments on the scoping process.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_S-Z_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
"Salt River Project, Salt River Valley Water Users' Association, Salt River Project Agricultural Improvement and Power District",2023-12-11,"SRP supports the Revised Draft SEIS Proposed Action (Section 2.7), commends voluntary conservation and federal funding, opposes mandatory reductions beyond existing guidelines, and requests analysis of cumulative hydropower impacts (including LTEMP) and concurrent federal processes.",SRP supports the Proposed Action alternative outlined in Section 2.7 of the Revised Draft SEIS,https://www.usbr.gov/ColoradoRiverBasin/documents/NearTermColoradoRiverOperations/PublicComments/Government/298_Salt River Project_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/interimguidelines/seis/publicinvolvement.html
Salt River Valley Water User’s Association (“Association”) and the Salt River Project Agricultural Improvement and Power District (“District”; collectively the Salt River Project “SRP”),2023-08-15,"Support building on the Law of the River; oppose wholesale legal revision. Request earlier, more aggressive shortage triggers, equitable allocation of reductions (including ESL), consideration of hydropower impacts, and proactive measures to protect Lakes Powell and Mead.",SRP does not support wholesale revision to the foundational legal framework.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_S-Z_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Salton Sea Authority,2023-08-15,"Urges Reclamation to evaluate and provide federally funded mitigation in the EIS for Salton Sea impacts from Colorado River water conservation, including air quality, environmental justice, tribal, water quality and habitat harms.",We respectfully urge you to evaluate these impacts and provide federally funded mitigation to address them within the EIS,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_S-Z_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Salton Sea Coalition,2023-08-15,Calls for immediate importation of ocean water (from the Gulf/El Mar de Cortez) to refill the Salton Sea to stop toxic dust and protect public health; later follow-up via desalination and pollution cleanup.,Importing Ocean water to fill up the drying lake is the immediate solution to stop the toxic dust that is being spread for miles.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Individuals_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Salton Sea Coalition,2023-08-15,Urges USBR not to forget the Salton Sea; calls for ocean water importation and desalination to restore the Salton Sea and decouple it from Colorado River supplies; criticizes state Draft Long Range Plan and UCSC panel and requests a comprehensive feasibility study.,"Importing ocean water to the Salton Sea, and desalinating it can help reduce the emissions of greenhouse gases from the exposed lakebed by restoring a healthy ecosystem at the Salton Sea.",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Individuals_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
San Carlos Apache Tribe,,Requests more water but did not allege specific errors in the proposed allocation.,The Tribe requested more water but did not allege any error in the proposed allocation.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Tribal_Submissions_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
